ProteinDisplayName,StructureSegmentationFileId,StructureSegmentationAlgorithmVersion,WorkflowId,NucleusSegmentationFilename,NucMembSegmentationAlgorithm,StructureContourFilename,CellIndex,NucleusSegmentationFileId,Gene,MembraneContourFilename,WellId,NucleusContourFileId,StructureShortName,NucMembSegmentationAlgorithmVersion,WellName,MembraneContourFileId,Workflow,ColonyPosition,MembraneSegmentationFilename,CellId,ChannelIndexStructure,Passage,NucleusContourReadPath,InstrumentId,Protein,PixelScaleZ,Objective,StructureSegmentationAlgorithm,PixelScaleX,PixelScaleY,CellLine,NucleusContourFilename,MembraneSegmentationReadPath,Row,CellPopulationId,StructureId,MembraneSegmentationFileId,MembraneContourReadPath,StructureSegmentationReadPath,NucleusSegmentationReadPath,CellLineId,StructureContourReadPath,ChannelIndexDNA,SourceFilename,FOVId,StructureContourFileId,RunId,Structure,Clone,Col,StructureDisplayName,DataSetId,SourceFileId,StructureSegmentationFilename,ChannelIndexMembrane,ChannelIndexBrightfield,PlateId,StructEducationName,SourceReadPath,StructureId/Name,CellLineId/Name,ProteinId/Name
Paxillin,55e5d14d38d54da5a675629d4e3057b0,67.0,5,3500001914_100X_20180409_1-Scene-19-P20-E07.czi_nucWholeIndexImageScale.tiff,Matlab nucleus/membrane segmentation,3500001914_100X_20180409_1-Scene-19-P20-E07_struct_contour.tiff,1,2b14229612494c05a2518fe3fd3a2ce4,PXN,3500001914_100X_20180409_1-Scene-19-P20-E07.czi_cellSegImageScaleContourXY.tiff,118711,b136a855ffac4e0c900b0b6552416833,Matrix adhesions,1.3.1,E7,cf0b40ab17fc42fb982fb9d6db76e02a,Pipeline 4.2,,3500001914_100X_20180409_1-Scene-19-P20-E07.czi_cellWholeIndexImageScale.tiff,126238,3,28,/allen/programs/allencell/data/proj0/833/416/552/0b6/00b/0c9/c4e/ffa/855/36a/b1/3500001914_100X_20180409_1-Scene-19-P20-E07.czi_nucSegImageScaleContourXY.tiff,4,Paxillin,0.29,100.0,Python PXN structure segmentation,0.10833333333333332,0.10833333333333332,AICS-5,3500001914_100X_20180409_1-Scene-19-P20-E07.czi_nucSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/a7c/41c/d1f/f75/f9f/69a/64a/bba/157/fda/8b/3500001914_100X_20180409_1-Scene-19-P20-E07.czi_cellWholeIndexImageScale.tiff,4,174,1,8bfda157bba64a69af9ff75d1f41ca7c,/allen/programs/allencell/data/proj0/02a/76e/6db/b9d/82f/fb9/c42/17f/0ab/0b4/cf/3500001914_100X_20180409_1-Scene-19-P20-E07.czi_cellSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/7b0/305/d4e/629/675/a5a/54d/38d/14d/e5d/55/3500001914_100X_20180409_1-Scene-19-P20-E07_struct_segmentation.tiff,/allen/programs/allencell/data/proj0/ce4/3a2/3fd/8fe/251/05a/94c/124/296/142/2b/3500001914_100X_20180409_1-Scene-19-P20-E07.czi_nucWholeIndexImageScale.tiff,5,/allen/programs/allencell/data/proj0/0ff/0e4/94b/b04/dcf/f89/e47/309/71c/19e/71/3500001914_100X_20180409_1-Scene-19-P20-E07_struct_contour.tiff,5,3500001914_100X_20180409_1-Scene-19-P20-E07.ome.tiff,11571,7119e71c309e47f89dcfb0494b0e40ff,,Matrix adhesions,50,6,Matrix adhesions,35,4c5065f6c4ec490fac2708bebd670444,3500001914_100X_20180409_1-Scene-19-P20-E07_struct_segmentation.tiff,1,6,3500001914,,/allen/programs/allencell/data/proj0/444/670/ebd/08b/c27/0fa/c49/c4e/5f6/506/4c/3500001914_100X_20180409_1-Scene-19-P20-E07.ome.tiff,Matrix adhesions,AICS-5,Paxillin
Paxillin,63044f0a72ae48398e4b7d815af5e896,67.0,5,3500001920_100X_20180409_2-Scene-26-P36-E07.czi_nucWholeIndexImageScale.tiff,Matlab nucleus/membrane segmentation,3500001920_100X_20180409_2-Scene-26-P36-E07_struct_contour.tiff,5,2ec39db71c464e079bcac95b0de788d5,PXN,3500001920_100X_20180409_2-Scene-26-P36-E07.czi_cellSegImageScaleContourXY.tiff,118903,8ceac5f3c611448ea84335dd759754d2,Matrix adhesions,1.3.1,E7,bcd852f6aadc45bc870e391c01603684,Pipeline 4.2,,3500001920_100X_20180409_2-Scene-26-P36-E07.czi_cellWholeIndexImageScale.tiff,127070,3,28,/allen/programs/allencell/data/proj0/4d2/975/d75/35d/843/8ea/144/c61/5f3/eac/8c/3500001920_100X_20180409_2-Scene-26-P36-E07.czi_nucSegImageScaleContourXY.tiff,4,Paxillin,0.29,100.0,Python PXN structure segmentation,0.10833333333333332,0.10833333333333332,AICS-5,3500001920_100X_20180409_2-Scene-26-P36-E07.czi_nucSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/b6a/15a/9c0/2f6/082/558/540/82e/3c5/e7d/35/3500001920_100X_20180409_2-Scene-26-P36-E07.czi_cellWholeIndexImageScale.tiff,4,174,1,35e7d3c582e5405580822f69c015ab6a,/allen/programs/allencell/data/proj0/684/603/c01/391/70e/bc8/c45/aad/2f6/d85/bc/3500001920_100X_20180409_2-Scene-26-P36-E07.czi_cellSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/896/f5e/15a/7d8/e4b/398/e48/72a/f0a/044/63/3500001920_100X_20180409_2-Scene-26-P36-E07_struct_segmentation.tiff,/allen/programs/allencell/data/proj0/8d5/e78/b0d/c95/bca/079/64e/1c4/db7/c39/2e/3500001920_100X_20180409_2-Scene-26-P36-E07.czi_nucWholeIndexImageScale.tiff,5,/allen/programs/allencell/data/proj0/629/b96/afa/729/ec5/1cb/240/c28/896/f7b/b5/3500001920_100X_20180409_2-Scene-26-P36-E07_struct_contour.tiff,5,3500001920_100X_20180409_2-Scene-26-P36-E07.ome.tiff,11752,b5f7b896c282401cbec5729afab96629,,Matrix adhesions,50,6,Matrix adhesions,35,d665013608314fc296c258f2eec66895,3500001920_100X_20180409_2-Scene-26-P36-E07_struct_segmentation.tiff,1,6,3500001920,,/allen/programs/allencell/data/proj0/895/c66/2ee/58f/6c2/c29/14f/083/136/650/d6/3500001920_100X_20180409_2-Scene-26-P36-E07.ome.tiff,Matrix adhesions,AICS-5,Paxillin
Paxillin,7f155801a9404123a0cb07ebf90391e1,67.0,5,3500001917_100X_20180409_3-Scene-08-P38-E08.czi_nucWholeIndexImageScale.tiff,Matlab nucleus/membrane segmentation,3500001917_100X_20180409_3-Scene-08-P38-E08_struct_contour.tiff,4,88028881078343abadce91459280c7db,PXN,3500001917_100X_20180409_3-Scene-08-P38-E08.czi_cellSegImageScaleContourXY.tiff,118424,4527f49f27df4bd4865c250a20b71d69,Matrix adhesions,1.3.1,E8,45e911720e4d45d4b1c857344a26eed7,Pipeline 4.2,,3500001917_100X_20180409_3-Scene-08-P38-E08.czi_cellWholeIndexImageScale.tiff,126538,3,28,/allen/programs/allencell/data/proj0/d69/b71/a20/250/65c/d48/f4b/27d/49f/27f/45/3500001917_100X_20180409_3-Scene-08-P38-E08.czi_nucSegImageScaleContourXY.tiff,6,Paxillin,0.29,100.0,Python PXN structure segmentation,0.10833333333333332,0.10833333333333332,AICS-5,3500001917_100X_20180409_3-Scene-08-P38-E08.czi_nucSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/30c/5b9/df9/70e/365/91a/145/12e/581/ea6/31/3500001917_100X_20180409_3-Scene-08-P38-E08.czi_cellWholeIndexImageScale.tiff,4,174,1,31ea658112e14591a36570edf95b930c,/allen/programs/allencell/data/proj0/ed7/26e/44a/573/1c8/d4b/d45/0e4/172/e91/45/3500001917_100X_20180409_3-Scene-08-P38-E08.czi_cellSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/1e1/039/bf9/07e/0cb/23a/041/a94/801/155/7f/3500001917_100X_20180409_3-Scene-08-P38-E08_struct_segmentation.tiff,/allen/programs/allencell/data/proj0/7db/80c/592/914/dce/aba/343/078/881/028/88/3500001917_100X_20180409_3-Scene-08-P38-E08.czi_nucWholeIndexImageScale.tiff,5,/allen/programs/allencell/data/proj0/da0/467/c6a/742/80c/299/040/7f1/942/3bc/33/3500001917_100X_20180409_3-Scene-08-P38-E08_struct_contour.tiff,5,3500001917_100X_20180409_3-Scene-08-P38-E08.ome.tiff,11733,333bc9427f104029980c742c6a467da0,,Matrix adhesions,50,7,Matrix adhesions,35,ab155a4c5b3f468192572478d71b492e,3500001917_100X_20180409_3-Scene-08-P38-E08_struct_segmentation.tiff,1,6,3500001917,,/allen/programs/allencell/data/proj0/92e/1b4/8d7/247/257/819/f46/5b3/a4c/155/ab/3500001917_100X_20180409_3-Scene-08-P38-E08.ome.tiff,Matrix adhesions,AICS-5,Paxillin
Paxillin,1d3f3bb763ee43948f8681f277b2b457,67.0,5,3500001953_100X_20180417_2r-Scene-07-P20-E06.czi_nucWholeIndexImageScale.tiff,Matlab nucleus/membrane segmentation,3500001953_100X_20180417_2r-Scene-07-P20-E06_struct_contour.tiff,11,bc0640f3d851428d8cb42c86b793cfa7,PXN,3500001953_100X_20180417_2r-Scene-07-P20-E06.czi_cellSegImageScaleContourXY.tiff,124289,4eaf899554414e03b4070d353c3c0edd,Matrix adhesions,1.3.1,E6,c7bc2bce0c3b4bdaa362039dca766333,Pipeline 4.2,,3500001953_100X_20180417_2r-Scene-07-P20-E06.czi_cellWholeIndexImageScale.tiff,130100,3,30,/allen/programs/allencell/data/proj0/edd/3c0/53c/0d3/407/03b/14e/544/995/af8/4e/3500001953_100X_20180417_2r-Scene-07-P20-E06.czi_nucSegImageScaleContourXY.tiff,6,Paxillin,0.29,100.0,Python PXN structure segmentation,0.10833333333333332,0.10833333333333332,AICS-5,3500001953_100X_20180417_2r-Scene-07-P20-E06.czi_nucSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/b86/032/d8c/5fc/d03/2b9/a46/733/ec7/017/36/3500001953_100X_20180417_2r-Scene-07-P20-E06.czi_cellWholeIndexImageScale.tiff,4,5441,1,36017ec7733a462b9d035fcd8c032b86,/allen/programs/allencell/data/proj0/333/766/dca/039/362/daa/b4b/0c3/bce/bc2/c7/3500001953_100X_20180417_2r-Scene-07-P20-E06.czi_cellSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/457/b2b/277/81f/f86/948/e43/63e/bb7/3f3/1d/3500001953_100X_20180417_2r-Scene-07-P20-E06_struct_segmentation.tiff,/allen/programs/allencell/data/proj0/fa7/93c/6b7/2c8/cb4/8d8/142/d85/0f3/064/bc/3500001953_100X_20180417_2r-Scene-07-P20-E06.czi_nucWholeIndexImageScale.tiff,5,/allen/programs/allencell/data/proj0/5ab/843/b3e/b6e/be8/05b/24a/66c/5f4/e24/ae/3500001953_100X_20180417_2r-Scene-07-P20-E06_struct_contour.tiff,5,3500001953_100X_20180417_2r-Scene-07-P20-E06.ome.tiff,15087,aee245f466c24a05bbe8b6eb3e8435ab,,Matrix adhesions,50,5,Matrix adhesions,35,149f0dc128c840188a551c7665c7732e,3500001953_100X_20180417_2r-Scene-07-P20-E06_struct_segmentation.tiff,1,6,3500001953,,/allen/programs/allencell/data/proj0/32e/c77/665/1c7/a55/188/840/28c/dc1/9f0/14/3500001953_100X_20180417_2r-Scene-07-P20-E06.ome.tiff,Matrix adhesions,AICS-5,Paxillin
Paxillin,1bce37b99c564627aa23e633b6fff13b,67.0,5,3500001949_100X_20180417_3-Scene-01-P3-E04.czi_nucWholeIndexImageScale.tiff,Matlab nucleus/membrane segmentation,3500001949_100X_20180417_3-Scene-01-P3-E04_struct_contour.tiff,2,fc3e18ccdaa6453ca7d522b73b17149d,PXN,3500001949_100X_20180417_3-Scene-01-P3-E04.czi_cellSegImageScaleContourXY.tiff,123903,231e1b1ec04e44d389b64de528c046cc,Matrix adhesions,1.3.1,E4,b0c0a8551a27460f89f3ec235608c8e2,Pipeline 4.2,,3500001949_100X_20180417_3-Scene-01-P3-E04.czi_cellWholeIndexImageScale.tiff,129728,3,30,/allen/programs/allencell/data/proj0/6cc/c04/528/4de/9b6/d38/e44/c04/b1e/1e1/23/3500001949_100X_20180417_3-Scene-01-P3-E04.czi_nucSegImageScaleContourXY.tiff,6,Paxillin,0.29,100.0,Python PXN structure segmentation,0.10833333333333332,0.10833333333333332,AICS-5,3500001949_100X_20180417_3-Scene-01-P3-E04.czi_nucSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/990/62a/4f1/a28/f0e/6ea/740/438/dc2/42b/1c/3500001949_100X_20180417_3-Scene-01-P3-E04.czi_cellWholeIndexImageScale.tiff,4,5441,1,1c42bdc24387406eaf0ea284f162a990,/allen/programs/allencell/data/proj0/8e2/08c/356/ec2/9f3/0f8/746/1a2/855/c0a/b0/3500001949_100X_20180417_3-Scene-01-P3-E04.czi_cellSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/13b/fff/3b6/e63/a23/27a/646/9c5/7b9/ce3/1b/3500001949_100X_20180417_3-Scene-01-P3-E04_struct_segmentation.tiff,/allen/programs/allencell/data/proj0/49d/171/73b/22b/7d5/3ca/645/daa/8cc/3e1/fc/3500001949_100X_20180417_3-Scene-01-P3-E04.czi_nucWholeIndexImageScale.tiff,5,/allen/programs/allencell/data/proj0/9b7/fc9/801/106/e14/038/642/43f/341/c7e/29/3500001949_100X_20180417_3-Scene-01-P3-E04_struct_contour.tiff,5,3500001949_100X_20180417_3-Scene-01-P3-E04.ome.tiff,14345,29c7e34143f642038e14106801fc99b7,,Matrix adhesions,50,3,Matrix adhesions,35,01dcb38f7a4c494bb421fe6895e71d7f,3500001949_100X_20180417_3-Scene-01-P3-E04_struct_segmentation.tiff,1,6,3500001949,,/allen/programs/allencell/data/proj0/d7f/e71/895/fe6/421/4bb/c49/7a4/38f/dcb/01/3500001949_100X_20180417_3-Scene-01-P3-E04.ome.tiff,Matrix adhesions,AICS-5,Paxillin
Paxillin,29bd711e668343ffa16bf41c38129a4b,67.0,5,3500001946_100X_20180417_1r-Scene-09-P26-E07.czi_nucWholeIndexImageScale.tiff,Matlab nucleus/membrane segmentation,3500001946_100X_20180417_1r-Scene-09-P26-E07_struct_contour.tiff,9,c528003655794619961cc3d9b20d5b8c,PXN,3500001946_100X_20180417_1r-Scene-09-P26-E07.czi_cellSegImageScaleContourXY.tiff,124194,4831936c684c4015b7588c95fec9cc2f,Matrix adhesions,1.3.1,E7,8ce23d3fcf30483da36b8c814a17c06c,Pipeline 4.2,,3500001946_100X_20180417_1r-Scene-09-P26-E07.czi_cellWholeIndexImageScale.tiff,129012,3,30,/allen/programs/allencell/data/proj0/c2f/c9c/5fe/8c9/758/15b/c40/684/36c/319/48/3500001946_100X_20180417_1r-Scene-09-P26-E07.czi_nucSegImageScaleContourXY.tiff,4,Paxillin,0.29,100.0,Python PXN structure segmentation,0.10833333333333332,0.10833333333333332,AICS-5,3500001946_100X_20180417_1r-Scene-09-P26-E07.czi_nucSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/538/4c0/829/686/961/958/540/b46/ddd/d66/fe/3500001946_100X_20180417_1r-Scene-09-P26-E07.czi_cellWholeIndexImageScale.tiff,4,5441,1,fed66dddb465409589616868294c0538,/allen/programs/allencell/data/proj0/06c/17c/14a/8c8/36b/3da/048/cf3/d3f/e23/8c/3500001946_100X_20180417_1r-Scene-09-P26-E07.czi_cellSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/a4b/129/c38/f41/16b/ffa/343/668/11e/bd7/29/3500001946_100X_20180417_1r-Scene-09-P26-E07_struct_segmentation.tiff,/allen/programs/allencell/data/proj0/b8c/0d5/9b2/c3d/61c/199/946/557/036/280/c5/3500001946_100X_20180417_1r-Scene-09-P26-E07.czi_nucWholeIndexImageScale.tiff,5,/allen/programs/allencell/data/proj0/abd/493/f81/def/2cd/32b/343/599/765/06a/ab/3500001946_100X_20180417_1r-Scene-09-P26-E07_struct_contour.tiff,5,3500001946_100X_20180417_1r-Scene-09-P26-E07.ome.tiff,17087,ab06a76559934332b2cddeff81493abd,,Matrix adhesions,50,6,Matrix adhesions,35,f5bb3207096143fd8e0fb6b06379b89b,3500001946_100X_20180417_1r-Scene-09-P26-E07_struct_segmentation.tiff,1,6,3500001946,,/allen/programs/allencell/data/proj0/89b/79b/063/b6b/e0f/fd8/143/096/207/bb3/f5/3500001946_100X_20180417_1r-Scene-09-P26-E07.ome.tiff,Matrix adhesions,AICS-5,Paxillin
Paxillin,13d6fba2b3c84355b50c1a7df95c9fdc,67.0,5,3500001946_100X_20180417_1r-Scene-05-P14-E06.czi_nucWholeIndexImageScale.tiff,Matlab nucleus/membrane segmentation,3500001946_100X_20180417_1r-Scene-05-P14-E06_struct_contour.tiff,8,f197c3b599ca4761b87a00f72e9660d6,PXN,3500001946_100X_20180417_1r-Scene-05-P14-E06.czi_cellSegImageScaleContourXY.tiff,124193,7dcd0e6ff22a44b9949282a0fe2ffdcd,Matrix adhesions,1.3.1,E6,7c68d112c0c2465aba2bd041457642cd,Pipeline 4.2,,3500001946_100X_20180417_1r-Scene-05-P14-E06.czi_cellWholeIndexImageScale.tiff,128790,3,30,/allen/programs/allencell/data/proj0/dcd/2ff/0fe/82a/492/b99/a44/f22/e6f/cd0/7d/3500001946_100X_20180417_1r-Scene-05-P14-E06.czi_nucSegImageScaleContourXY.tiff,4,Paxillin,0.29,100.0,Python PXN structure segmentation,0.10833333333333332,0.10833333333333332,AICS-5,3500001946_100X_20180417_1r-Scene-05-P14-E06.czi_nucSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/cc4/ec2/82d/7af/3fd/ccb/546/b10/cd6/35d/cd/3500001946_100X_20180417_1r-Scene-05-P14-E06.czi_cellWholeIndexImageScale.tiff,4,5441,1,cd35dcd6b10546ccb3fd7af82dec2cc4,/allen/programs/allencell/data/proj0/2cd/764/145/d04/a2b/5ab/246/c0c/112/68d/7c/3500001946_100X_20180417_1r-Scene-05-P14-E06.czi_cellSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/fdc/5c9/df9/1a7/50c/55b/843/b3c/ba2/d6f/13/3500001946_100X_20180417_1r-Scene-05-P14-E06_struct_segmentation.tiff,/allen/programs/allencell/data/proj0/0d6/966/72e/00f/87a/61b/a47/99c/3b5/97c/f1/3500001946_100X_20180417_1r-Scene-05-P14-E06.czi_nucWholeIndexImageScale.tiff,5,/allen/programs/allencell/data/proj0/f72/2d2/6ba/fbe/ce9/4ba/447/0ad/d9f/0b5/1f/3500001946_100X_20180417_1r-Scene-05-P14-E06_struct_contour.tiff,5,3500001946_100X_20180417_1r-Scene-05-P14-E06.ome.tiff,16785,1f0b5d9f0ad4474bace9fbe6ba2d2f72,,Matrix adhesions,50,5,Matrix adhesions,35,d64df73bc45c4607912999cbc6219b4d,3500001946_100X_20180417_1r-Scene-05-P14-E06_struct_segmentation.tiff,1,6,3500001946,,/allen/programs/allencell/data/proj0/b4d/219/bc6/99c/129/079/c46/c45/73b/4df/d6/3500001946_100X_20180417_1r-Scene-05-P14-E06.ome.tiff,Matrix adhesions,AICS-5,Paxillin
Paxillin,e41d3667cacd4d5da51605af1788cfb5,67.0,5,3500001914_100X_20180409_1-Scene-17-P18-E07.czi_nucWholeIndexImageScale.tiff,Matlab nucleus/membrane segmentation,3500001914_100X_20180409_1-Scene-17-P18-E07_struct_contour.tiff,1,23b4acfe83f14c85a624f266596b546d,PXN,3500001914_100X_20180409_1-Scene-17-P18-E07.czi_cellSegImageScaleContourXY.tiff,118711,ac8bd52a6f3545c08b5a9743f1a90a61,Matrix adhesions,1.3.1,E7,054f89e5ff5d491eae9d5fc204671e14,Pipeline 4.2,,3500001914_100X_20180409_1-Scene-17-P18-E07.czi_cellWholeIndexImageScale.tiff,126248,3,28,/allen/programs/allencell/data/proj0/a61/a90/3f1/974/b5a/c08/545/6f3/52a/8bd/ac/3500001914_100X_20180409_1-Scene-17-P18-E07.czi_nucSegImageScaleContourXY.tiff,4,Paxillin,0.29,100.0,Python PXN structure segmentation,0.10833333333333332,0.10833333333333332,AICS-5,3500001914_100X_20180409_1-Scene-17-P18-E07.czi_nucSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/541/b33/069/9f3/ed3/28b/840/501/822/ecd/b6/3500001914_100X_20180409_1-Scene-17-P18-E07.czi_cellWholeIndexImageScale.tiff,4,174,1,b6ecd82250184028bed39f3069b33541,/allen/programs/allencell/data/proj0/e14/671/204/5fc/e9d/1ea/d49/ff5/9e5/4f8/05/3500001914_100X_20180409_1-Scene-17-P18-E07.czi_cellSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/fb5/88c/f17/05a/516/5da/d4d/cac/667/1d3/e4/3500001914_100X_20180409_1-Scene-17-P18-E07_struct_segmentation.tiff,/allen/programs/allencell/data/proj0/46d/6b5/659/f26/624/85a/14c/83f/cfe/b4a/23/3500001914_100X_20180409_1-Scene-17-P18-E07.czi_nucWholeIndexImageScale.tiff,5,/allen/programs/allencell/data/proj0/32b/d97/37d/244/872/a48/44d/6f8/a85/c7a/ae/3500001914_100X_20180409_1-Scene-17-P18-E07_struct_contour.tiff,5,3500001914_100X_20180409_1-Scene-17-P18-E07.ome.tiff,11570,aec7aa856f844da4887224437dd9732b,,Matrix adhesions,50,6,Matrix adhesions,35,485709b6539341f788d4d67c7307c516,3500001914_100X_20180409_1-Scene-17-P18-E07_struct_segmentation.tiff,1,6,3500001914,,/allen/programs/allencell/data/proj0/516/07c/c73/d67/8d4/f78/341/539/9b6/570/48/3500001914_100X_20180409_1-Scene-17-P18-E07.ome.tiff,Matrix adhesions,AICS-5,Paxillin
Alpha-actinin-1,94f451fac71f4257ab8345101b16d417,58.0,5,3500001881_100X_20180330_1e-Scene-20-P57-F05.czi_nucWholeIndexImageScale.tiff,Matlab nucleus/membrane segmentation,3500001881_100X_20180330_1e-Scene-20-P57-F05_struct_segmentation_contour_xy.tiff,5,776e680d0e534c57ad13433add17f98b,ACTN1,3500001881_100X_20180330_1e-Scene-20-P57-F05.czi_cellSegImageScaleContourXY.tiff,117857,b49a1e72225347edb722ebd31eaffd85,Actin filaments,1.3.1,F5,05ff8322a3cf4aa398dfcd1d205aad17,Pipeline 4.2,,3500001881_100X_20180330_1e-Scene-20-P57-F05.czi_cellWholeIndexImageScale.tiff,90153,3,36,/allen/programs/allencell/data/proj0/d85/aff/31e/ebd/722/edb/347/225/e72/9a1/b4/3500001881_100X_20180330_1e-Scene-20-P57-F05.czi_nucSegImageScaleContourXY.tiff,6,Alpha-actinin-1,0.29,100.0,Python ACTN1 structure segmentation,0.10833333333333332,0.10833333333333332,AICS-7,3500001881_100X_20180330_1e-Scene-20-P57-F05.czi_nucSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/d13/c78/d28/59d/d47/31a/142/f14/f38/851/e8/3500001881_100X_20180330_1e-Scene-20-P57-F05.czi_cellWholeIndexImageScale.tiff,5,5425,7,e8851f38f1414231ad4759dd28c78d13,/allen/programs/allencell/data/proj0/d17/5aa/d20/cd1/8df/a39/f4a/a3c/322/ff8/05/3500001881_100X_20180330_1e-Scene-20-P57-F05.czi_cellSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/5fe/36a/9c9/c93/0ee/8e9/d45/411/5cc/391/2b/3500001881_100X_20180330_1e-Scene-20-P57-F05_struct_segmentation.tiff,/allen/programs/allencell/data/proj0/98b/17f/add/433/d13/57a/34c/0e5/80d/6e6/77/3500001881_100X_20180330_1e-Scene-20-P57-F05.czi_nucWholeIndexImageScale.tiff,11,/allen/programs/allencell/data/proj0/4c6/cb8/905/55e/39f/5d9/74c/1cb/406/0f9/02/3500001881_100X_20180330_1e-Scene-20-P57-F05_struct_segmentation_contour_xy.tiff,5,3500001881_100X_20180330_1e-Scene-20-P57-F05.ome.tiff,11320,4a637814f25b458890e9bb07ae6d530c,,Actin filaments,79,4,Actin filaments,5,a7f728d47b854450a6ca8115e8e56a42,3500001881_100X_20180330_1e-Scene-20-P57-F05_struct_segmentation.tiff,1,6,3500001881,,/allen/programs/allencell/data/proj0/a42/e56/5e8/811/6ca/50a/544/7b8/8d4/f72/a7/3500001881_100X_20180330_1e-Scene-20-P57-F05.ome.tiff,Actin filaments,AICS-7,Alpha-actinin-1
Alpha-actinin-1,fb8bc7804a4947df97d16acf9040df21,58.0,5,3500001850_100X_20180323_2-Scene-02-P33-F04.czi_nucWholeIndexImageScale.tiff,Matlab nucleus/membrane segmentation,3500001850_100X_20180323_2-Scene-02-P33-F04_struct_segmentation_contour_xy.tiff,7,0e927d126b80466797016a9be0d93514,ACTN1,3500001850_100X_20180323_2-Scene-02-P33-F04.czi_cellSegImageScaleContourXY.tiff,114208,aa2c5e17f1b14551b87bd99db3ba2b3c,Actin filaments,1.3.1,F4,30c654500f074693a35f6d77912fd1a5,Pipeline 4.2,,3500001850_100X_20180323_2-Scene-02-P33-F04.czi_cellWholeIndexImageScale.tiff,87686,3,34,/allen/programs/allencell/data/proj0/b3c/ba2/db3/d99/87b/51b/145/f1b/e17/2c5/aa/3500001850_100X_20180323_2-Scene-02-P33-F04.czi_nucSegImageScaleContourXY.tiff,6,Alpha-actinin-1,0.29,100.0,Python ACTN1 structure segmentation,0.10833333333333332,0.10833333333333332,AICS-7,3500001850_100X_20180323_2-Scene-02-P33-F04.czi_nucSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/752/d11/528/91a/255/a1b/e47/0cc/8bc/e3e/91/3500001850_100X_20180323_2-Scene-02-P33-F04.czi_cellWholeIndexImageScale.tiff,5,5419,7,91e3e8bc0cce47a1b25591a528d11752,/allen/programs/allencell/data/proj0/1a5/2fd/791/6d7/35f/93a/746/0f0/450/c65/30/3500001850_100X_20180323_2-Scene-02-P33-F04.czi_cellSegImageScaleContourXY.tiff,/allen/programs/allencell/data/proj0/f21/40d/f90/6ac/7d1/df9/947/4a4/780/8bc/fb/3500001850_100X_20180323_2-Scene-02-P33-F04_struct_segmentation.tiff,/allen/programs/allencell/data/proj0/514/d93/be0/6a9/701/679/046/6b8/d12/927/0e/3500001850_100X_20180323_2-Scene-02-P33-F04.czi_nucWholeIndexImageScale.tiff,11,/allen/programs/allencell/data/proj0/9fd/302/8a0/34b/802/0db/e4e/894/c23/a07/fd/3500001850_100X_20180323_2-Scene-02-P33-F04_struct_contour.tiff,5,3500001850_100X_20180323_2-Scene-02-P33-F04.ome.tiff,10958,fda07c23894e4e0db80234b8a03029fd,,Actin filaments,79,3,Actin filaments,5,2814913ff35c47959ee087d080150b94,3500001850_100X_20180323_2-Scene-02-P33-F04_struct_segmentation.tiff,1,6,3500001850,,/allen/programs/allencell/data/proj0/b94/150/080/87d/ee0/959/c47/f35/13f/149/28/3500001850_100X_20180323_2-Scene-02-P33-F04.ome.tiff,Actin filaments,AICS-7,Alpha-actinin-1
